city	inventory	sector	nox	pm25	so2	voc
Utrecht	synth	ms34	2.650631233	1.721551904	1.705092311	2.717417526
Warsaw	synth	ms34	1.832673584	3.040617617	2.260960683	1.81195712
Barcelona	ctm4iam	ms2	6.820161283	1.685520326	6.834718392	6.738665237
Bucarest	ctm4iam	ms2	10.5246241	3.231831856	7.248960652	10.93380361
Budapest	ctm4iam	ms2	21.74731186	6.967148074	19.9317311	20.9373572
Katowice	ctm4iam	ms2	4.582789195	2.122613383	4.763001224	4.652647467
London	ctm4iam	ms2	10.71828334	0.558680259	1.318284843	1.805263328
Madrid	ctm4iam	ms2	10.09443563	2.466287327	10.11602593	9.973862274
Milan	ctm4iam	ms2	5.610726476	2.435985808	5.213070684	5.62698152
Paris	ctm4iam	ms2	11.35835029	1.036318787	8.525220972	0.553014816
Sofia	ctm4iam	ms2	13.01938525	4.956769525	16.1549431	13.04314393
Utrecht	ctm4iam	ms2	6.33101678	4.585006391	2.560563733	5.664186487
Warsaw	ctm4iam	ms2	5.021269768	2.061247778	5.219236544	5.097861977
Barcelona	edgar	ms2	8.44242851	5.388639175	5.36468135	5.578264688
Bucarest	edgar	ms2	21.28804894	10.16940894	9.574367278	10.53349149
Budapest	edgar	ms2	68.99790641	17.89859086	20.01309558	23.12071477
Katowice	edgar	ms2	5.982198229	3.875115115	4.154102281	3.844648746
London	edgar	ms2	14.06262333	8.772036032	8.63553317	11.05080846
Madrid	edgar	ms2	14.81521431	9.108131658	9.063351039	9.462508553
Milan	edgar	ms2	10.75405503	5.074400887	4.893080226	5.819035459
Paris	edgar	ms2	21.24651126	12.50083604	8.374818763	12.89433084
Sofia	edgar	ms2	13.82793871	10.59395912	10.51674127	10.64563532
Utrecht	edgar	ms2	7.105504326	5.912221527	4.492964752	6.357453849
Warsaw	edgar	ms2	6.262685528	4.171889022	4.448695872	4.141647603
Paris	emep	ms2	9.955593996	0.593159405	4.579799891	0.704695096
Barcelona	emep	ms2	2.800403396	2.273692326	2.24860924	2.674006759
Bucarest	emep	ms2	5.710489729	1.965482518	2.968304193	1.964860624
Budapest	emep	ms2	16.59696947	4.927184833	8.92088291	4.438603783
Katowice	emep	ms2	2.336228216	1.704824843	1.739805643	1.783901992
London	emep	ms2	9.59024936	1.118226089	1.725560812	1.459267903
Madrid	emep	ms2	3.50874957	1.060913621	2.710638292	1.354566844
Milan	emep	ms2	3.950369835	0.752070915	2.612011254	0.789745051
Sofia	emep	ms2	7.377122615	6.31732861	6.160897039	6.30041942
Utrecht	emep	ms2	3.840052642	5.148236364	4.555739403	4.656515464
Warsaw	emep	ms2	2.515447342	1.835615319	1.980311096	1.527216448
Barcelona	jrc	ms2	6.545447524	3.524544069	6.54544762	3.065429887
Bucarest	jrc	ms2	10.06663608	2.421686969	10.06663613	2.398477574
Budapest	jrc	ms2	19.85378178	8.223200073	19.85378214	6.335712589
Katowice	jrc	ms2	4.308006093	3.646403803	4.308006061	2.28581335
London	jrc	ms2	9.793181387	4.470818522	9.793181525	4.254017115
Madrid	jrc	ms2	9.692869293	3.465702564	9.692869453	2.724840068
Milan	jrc	ms2	5.362021714	1.534207023	5.362021633	1.609665544
Paris	jrc	ms2	12.55640872	2.372508188	12.55640856	2.293964739
Sofia	jrc	ms2	16.01319597	6.437055369	16.01319383	4.680945173
Utrecht	jrc	ms2	5.365844028	4.481674259	5.365842991	4.690734879
Warsaw	jrc	ms2	5.758078299	4.761303943	5.758078322	2.828389992
Barcelona	macc2	ms2	3.16619189	3.846224112	3.377814727	4.234909886
Bucarest	macc2	ms2	6.417013876	2.553863957	2.500719024	2.586830455
Budapest	macc2	ms2	18.99631832	11.46148119	1.015436832	14.44515237
Katowice	macc2	ms2	4.235622564	1.67792539	1.681060906	2.957041665
London	macc2	ms2	10.22950058	3.052828794	2.887972478	6.573354958
Madrid	macc2	ms2	4.385337557	5.261695666	4.703786982	5.79944467
Milan	macc2	ms2	4.798369573	1.314287286	4.314623462	1.410813687
Paris	macc2	ms2	11.4129006	6.565087919	8.344889545	6.793150291
Sofia	macc2	ms2	6.232961438	6.472195613	0.759321264	7.731372075
Utrecht	macc2	ms2	4.167488585	6.893073568	5.175274705	6.048303521
Warsaw	macc2	ms2	4.868058542	1.754361027	1.898771193	2.937835696
Barcelona	macc3	ms2	2.885166419	2.259590032	2.197986274	2.67138087
Bucarest	macc3	ms2	5.697270841	1.966825738	3.023007792	1.965142852
Budapest	macc3	ms2	16.59227334	4.948699942	8.953464322	4.443639509
Katowice	macc3	ms2	2.331316804	1.717211551	1.742420707	1.797639533
London	macc3	ms2	9.65460353	1.111346	1.679821301	1.475232948
Madrid	macc3	ms2	3.621007709	1.054855589	2.65957577	1.355069272
Milan	macc3	ms2	4.023974707	0.752489506	2.618514405	0.791472258
Paris	macc3	ms2	9.972381847	0.592923987	4.489139276	0.707413984
Sofia	macc3	ms2	7.533668942	6.317746698	6.205717079	6.300659665
Utrecht	macc3	ms2	3.994219159	5.140967966	4.568387906	4.644589381
Warsaw	macc3	ms2	2.510894811	1.851613579	1.983630747	1.545402436
Barcelona	synth	ms2	4.855819707	2.899118197	4.371248039	3.650169886
Bucarest	synth	ms2	8.24182498	2.487775463	5.135984222	2.492654014
Budapest	synth	ms2	19.42505005	7.595174074	14.40362323	10.39043248
Katowice	synth	ms2	4.271814329	1.919912467	2.948261494	2.621427508
London	synth	ms2	10.01134098	2.085527441	2.306766645	3.029640221
Madrid	synth	ms2	7.039103425	2.965994946	6.883569011	4.262142369
Milan	synth	ms2	5.080195644	1.424247154	4.603851844	1.510239615
Paris	synth	ms2	11.38562544	1.704413487	8.359854154	1.500689362
Sofia	synth	ms2	10.2765271	6.377401034	8.361229177	7.01601587
Utrecht	synth	ms2	4.766666307	5.144602165	4.562063654	5.177460683
Warsaw	synth	ms2	4.944664155	1.956430678	3.216163309	2.883112844
Barcelona	ctm4iam	ms7	3.139781847	3.139937871	3.124793584	3.138564969
Bucarest	ctm4iam	ms7	2.847535591	2.847266571	2.851236851	2.848566779
Budapest	ctm4iam	ms7	12.76531031	12.7623059	12.79467341	12.73750398
Katowice	ctm4iam	ms7	3.337278506	3.335597766	3.189141254	3.334350652
London	ctm4iam	ms7	5.272160806	6.143701959	4.644549909	7.396187248
Madrid	ctm4iam	ms7	5.940585881	5.940895839	5.912235462	5.938294019
Milan	ctm4iam	ms7	3.799740017	3.799745504	3.799701791	3.799734065
Paris	ctm4iam	ms7	5.571689013	5.662101542	5.666120776	9.761443646
Sofia	ctm4iam	ms7	5.28092216	5.280707901	5.287003176	5.281857281
Utrecht	ctm4iam	ms7	7.239291255	7.239331019	7.239336761	7.239358556
Warsaw	ctm4iam	ms7	4.469112651	4.466871889	4.270764597	4.465215889
Barcelona	edgar	ms7	2.021969407	2.117550774	2.056262191	2.057132235
Bucarest	edgar	ms7	3.593381644	3.875968713	3.909117204	4.294775626
Budapest	edgar	ms7	7.529428084	8.575298118	8.71510314	9.192303532
Katowice	edgar	ms7	1.976060999	1.921489177	1.996268242	2.134579509
London	edgar	ms7	3.361773467	3.622162185	3.873130508	4.030713153
Madrid	edgar	ms7	3.153500737	3.184959323	3.141922821	3.144140406
Milan	edgar	ms7	1.933411394	1.9554324	1.973589451	2.005209881
Paris	edgar	ms7	2.314787105	2.477950678	2.455004084	2.566630746
Sofia	edgar	ms7	6.808912691	6.838702803	7.138853057	7.76160529
Utrecht	edgar	ms7	5.77262283	5.893804876	5.823401984	5.925853091
Warsaw	edgar	ms7	2.157185237	2.066819786	2.197125527	2.443190856
Paris	emep	ms7	5.563049898	7.217318431	6.606061757	10.80022712
Barcelona	emep	ms7	4.238833227	4.652091095	4.511098985	5.841687574
Bucarest	emep	ms7	8.462561173	8.631811792	8.552662332	9.14950444
Budapest	emep	ms7	13.18241746	14.69386462	13.79955302	18.90688677
Katowice	emep	ms7	3.618059385	3.690974629	3.561109536	4.330507935
London	emep	ms7	6.594326295	7.701271713	7.474915333	9.429655522
Madrid	emep	ms7	6.264878312	6.805779443	6.61982473	8.285151896
Milan	emep	ms7	3.761860676	4.089858584	3.937591508	5.067561477
Sofia	emep	ms7	11.88452422	12.40027149	11.60313952	13.94132466
Utrecht	emep	ms7	7.308881212	6.815428432	6.910923302	6.014500782
Warsaw	emep	ms7	3.703349802	3.821083608	3.681967313	4.970210949
Barcelona	jrc	ms7	5.398922189	5.801034786	5.663821661	7.991203535
Bucarest	jrc	ms7	4.259805508	4.409328674	4.280664795	6.785247493
Budapest	jrc	ms7	8.441887801	8.859824439	9.014341275	13.50931696
Katowice	jrc	ms7	2.790035836	2.894113535	2.871783657	4.035418461
London	jrc	ms7	9.996534252	10.80804129	10.11444946	12.47113776
Madrid	jrc	ms7	5.859448167	6.317637121	5.958224457	8.315104536
Milan	jrc	ms7	3.194164917	3.232383017	3.417394622	4.442478311
Paris	jrc	ms7	7.187542775	7.64281567	7.435222831	11.85209641
Sofia	jrc	ms7	7.690155624	7.720675675	7.486165212	11.38461499
Utrecht	jrc	ms7	6.154649186	6.178702164	6.114783311	6.075994668
Warsaw	jrc	ms7	2.202549717	2.366113261	2.264490096	4.137051428
Barcelona	macc2	ms7	4.245890681	4.625283258	4.524446517	5.828114009
Bucarest	macc2	ms7	8.463366281	8.660615932	8.573546049	9.174137109
Budapest	macc2	ms7	13.37248274	14.5514262	13.45547316	19.11798745
Katowice	macc2	ms7	3.616059054	3.699065077	3.557239931	4.31856562
London	macc2	ms7	6.272825114	7.56711318	7.531520868	9.473128546
Madrid	macc2	ms7	6.273603199	6.767932822	6.637875886	8.270280134
Milan	macc2	ms7	3.770249971	4.065364258	3.948428423	4.997425182
Paris	macc2	ms7	5.494034028	6.77820528	6.597087811	10.86267506
Sofia	macc2	ms7	11.21476753	12.49809196	11.52636388	13.80184137
Utrecht	macc2	ms7	7.265824772	6.834201485	6.890847109	5.755271009
Warsaw	macc2	ms7	3.702609933	3.781368795	3.648211472	5.03039394
Barcelona	macc3	ms7	4.236704331	4.647404139	4.511666692	5.836216104
Bucarest	macc3	ms7	8.464590345	8.629377646	8.555448289	9.150426112
Budapest	macc3	ms7	13.06308915	14.55526838	13.69602896	18.86374297
Katowice	macc3	ms7	3.618526642	3.691024218	3.561974225	4.333130253
London	macc3	ms7	6.558094667	7.691188469	7.524328446	9.441027746
Madrid	macc3	ms7	6.261746144	6.800677403	6.620524677	8.278690695
Milan	macc3	ms7	3.767249349	4.090852547	3.945615767	5.06929918
Paris	macc3	ms7	5.55058967	7.224230819	6.624885505	10.81042243
Sofia	macc3	ms7	11.90443762	12.39404756	11.59994275	13.81808257
Utrecht	macc3	ms7	7.321011332	6.826637003	6.913198254	6.027067147
Warsaw	macc3	ms7	3.713517684	3.821595424	3.69158745	4.978398902
Barcelona	synth	ms7	4.237768779	4.636343699	4.511382838	5.832165056
Bucarest	synth	ms7	6.36118334	6.51935316	6.416663563	7.967375967
Budapest	synth	ms7	12.91419973	13.65686605	13.12507329	16.18652996
Katowice	synth	ms7	3.47666878	3.513286198	3.373190593	4.17699204
London	synth	ms7	6.41545989	7.629150824	7.499621889	9.435341634
Madrid	synth	ms7	6.101166013	6.542784971	6.289024593	8.274485415
Milan	synth	ms7	3.764555012	3.932554881	3.868646649	4.719951747
Paris	synth	ms7	5.556819784	6.997761855	6.601574784	10.80532478
Sofia	synth	ms7	9.452461577	10.05736162	9.506264546	12.59322818
Utrecht	synth	ms7	7.252558014	6.821032718	6.900885206	6.020783964
Warsaw	synth	ms7	3.702979867	3.801226202	3.665089393	4.717713419
